strain,region,country,division,location
USA/NY-NYUMC500/2020,North America,USA,New York,Queens
England/CAMB-7707D/2020,Europe,United Kingdom,England,?
England/CAMB-7717A/2020,Europe,United Kingdom,England,?
Austria/CeMM0205/2020,Europe,Austria,Vienna,?
Australia/VIC1858/2020,Oceania,Australia,Victoria,?
Sweden/20-08045/2020,Europe,Sweden,Vastra Gotaland,?
England/CAMB-765CA/2020,Europe,United Kingdom,England,?
Scotland/EDB6009/2020,Europe,United Kingdom,Scotland,?
England/BRIS-122984/2020,Europe,United Kingdom,England,?
England/CAMB-1AE4AD/2020,Europe,United Kingdom,England,?
Iceland/29/2020,Europe,Iceland,Reykjavik,?
England/CAMB-7B729/2020,Europe,United Kingdom,England,?
CDPH_Mad_1,North America,USA,California,Madera
CDPH_Mad_4,North America,USA,California,Madera
CDPH_Mad_6,North America,USA,California,Madera
CDPH_Mad_5,North America,USA,California,Madera
USA/CA-CZB-3669/2020,North America,USA,California,Madera County
USA/CA-CZB-3668/2020,North America,USA,California,Madera County
USA/CA-CZB-3664/2020,North America,USA,California,Madera County
USA/CA-CZB-3667/2020,North America,USA,California,Madera County
USA/CA-CZB-3670/2020,North America,USA,California,Madera County
USA/CA-CZB-3657/2020,North America,USA,California,Madera County
USA/CA-CZB-3658/2020,North America,USA,California,Madera County
USA/CA-CZB-3656/2020,North America,USA,California,Madera County
USA/CA-CZB-3671/2020,North America,USA,California,Madera County
USA/CA-CZB-3648/2020,North America,USA,California,Madera County
USA/CA-CZB-3649/2020,North America,USA,California,Madera County
USA/CA-CZB-3655/2020,North America,USA,California,Madera County
USA/CA-CZB-3651/2020,North America,USA,California,Madera County
USA/CA-CZB-3650/2020,North America,USA,California,Madera County
USA/CA-CZB-3666/2020,North America,USA,California,Madera County
USA/CA-CZB-3663/2020,North America,USA,California,Madera County
USA/CA-CZB-3665/2020,North America,USA,California,Madera County
USA/CA-CZB-3660/2020,North America,USA,California,Madera County
USA/CA-CZB-3672/2020,North America,USA,California,Madera County
USA/CA-CZB-3659/2020,North America,USA,California,Madera County
USA/CA-CZB-3661/2020,North America,USA,California,Madera County
USA/CA-CZB-3662/2020,North America,USA,California,Madera County
USA/CA-CZB-3652/2020,North America,USA,California,Madera County
USA/CA-CZB-3654/2020,North America,USA,California,Madera County
USA/CA-CZB-3653/2020,North America,USA,California,Madera County
CDPH_Mad_3,North America,USA,California,Madera
CDPH_Mad_2,North America,USA,California,Madera
USA/MI-UM-2006S000967/2020,North America,USA,Michigan,?
England/NORT-295420/2020,Europe,United Kingdom,England,?
USA/TX-QDX-37/2020,North America,USA,Texas,?
Japan/Hu_Kng_19-437/2020,Asia,Japan,Japan,?
England/NOTT-110D23/2020,Europe,United Kingdom,England,?
Iceland/9/2020,Europe,Iceland,Reykjavik,?
USA/CA-ALSR-1315/2020,North America,USA,California,San Diego
Wuhan/WH01/2019,Asia,China,Hubei,Wuhan
DRC/6854/2020,Africa,Democratic Republic of the Congo,Kinshasa,?
DRC/7713/2020,Africa,Democratic Republic of the Congo,Kinshasa,?
England/20149009004/2020,Europe,United Kingdom,England,?
England/BRIS-1227E4/2020,Europe,United Kingdom,England,?
Sweden/20-51474/2020,Europe,Sweden,Kalmar,?
USA/UT-04105/2020,North America,USA,Utah,?
England/CAMB-76269/2020,Europe,United Kingdom,England,?
England/CAMB-75A80/2020,Europe,United Kingdom,England,?
Switzerland/200007_584_B01/2020,Europe,Switzerland,Bern,?
England/EXET-137764/2020,Europe,United Kingdom,England,?
England/EXET-137782/2020,Europe,United Kingdom,England,?
Austria/CeMM0160/2020,Europe,Austria,Vienna,?
Brazil/L22_CD475/2020,South America,Brazil,São Paulo,?
Australia/VIC652/2020,Oceania,Australia,Victoria,?
Australia/VIC682/2020,Oceania,Australia,Victoria,?
Australia/VIC174/2020,Oceania,Australia,Victoria,?
Australia/VIC853/2020,Oceania,Australia,Victoria,?
Brazil/SP-01/2020,South America,Brazil,São Paulo,São Paulo
Brazil/SP-05/2020,South America,Brazil,São Paulo,São Paulo
Brazil/SP-12/2020,South America,Brazil,São Paulo,São Paulo
Australia/NSW303/2020,Oceania,Australia,New South Wales,Sydney
Chile/Santiago_60/2020,South America,Chile,Santiago,?
Ghana/2230_S4/2020,Africa,Ghana,Greater Accra,Accra
Wuhan/HBCDC-HB-03/2019,Asia,China,Hubei,Wuhan
SouthKorea/KCDC2129/2020,Asia,South Korea,South Korea,?
Australia/QLDID929/2020,Oceania,Australia,Queensland,Brisbane
India/GBRC70/2020,Asia,India,Gujarat,Gandhinagar
Japan/PG-0036/2020,Asia,Japan,Kanto,?
Japan/PG-0033/2020,Asia,Japan,Kanto,?
Wuhan/Hu-1/2019,Asia,China,Hubei,Wuhan
Wuhan/IPBCAMS-WH-04/2019,Asia,China,Hubei,Wuhan
Wuhan/IVDC-HB-01/2019,Asia,China,Hubei,Wuhan
Wuhan/WIV04/2019,Asia,China,Hubei,Wuhan
Wuhan/WIV06/2019,Asia,China,Hubei,Wuhan
Beijing/DT-travelCA01/2020,Asia,China,Beijing,?
HongKong/HKU-200723-019/2020,Asia,Hong Kong,Hong Kong,?
SouthAfrica/KRISP-0055/2020,Africa,South Africa,KwaZulu-Natal,Berea
SouthAfrica/KRISP-0067/2020,Africa,South Africa,KwaZulu-Natal,Berea
SouthAfrica/KRISP-0040/2020,Africa,South Africa,KwaZulu-Natal,Berea
SouthAfrica/KRISP-0019/2020,Africa,South Africa,KwaZulu-Natal,Berea
Brazil/SP-L22-CD475/2020,South America,Brazil,Sao Paulo,?
Brazil/RJ-DCVTV507Q/2020,South America,Brazil,Rio de Janeiro,?
Australia/NSW50/2020,Oceania,Australia,New South Wales,Sydney
